ART_GRP_SE,ARCHV_ARTST_NM,NM,VRIT_MARK_CN,REALM_CL,ACT_RELM_CN,BIRTH_YEAR,RSRCH_MAN_NM,URL
ARTST,예술인,심옥식,SHIM Okshik,창작음악,한국현대음악,1959,,https://www.daarts.or.kr/handle/11080/67675
ARTST,예술인,장민석,JANG Min Seok,창작음악,한국현대음악,1995,,https://www.daarts.or.kr/handle/11080/113466
ARTST,예술인,홍현숙,Hong hyun sook,시각예술,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19678
ARTST,예술인,계낙영,Kye nak young,시각예술,미술작가,1948,,https://www.daarts.or.kr/handle/11080/19222
ARTGR,예술단체,극단 산으로 간 어부,,공연단체,,,,https://www.daarts.or.kr/handle/11080/51181
FARTST,미술작가,김보희,Kim bo hie,회화,,1952,,https://www.daarts.or.kr/handle/11080/19273
ARTST,예술인,변시지,邊時志,시각예술,서양화,1926,,https://www.daarts.or.kr/handle/11080/6034
FARTST,미술작가,유영국,Yoo young kuk,회화,,1916,,https://www.daarts.or.kr/handle/11080/19485
ARTST,예술인,이재삼,Lee jae sam,시각예술,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19540
ARTST,예술인,김춘옥,Kim chun ok,시각예술,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19330
ARTST,예술인,엄옥자,嚴玉子,공연예술,한국무용,1943,,https://www.daarts.or.kr/handle/11080/6343
ARTST,예술인,권옥연,Kwon ok youn,시각예술,서양화,1923,,https://www.daarts.or.kr/handle/11080/5958
ARTST,예술인,나인용,羅仁容,공연예술,작곡,1936,,https://www.daarts.or.kr/handle/11080/23364
DIC,구술채록,이정호,李貞浩,문학,문학,1930,박선애,https://www.daarts.or.kr/handle/11080/16706
ARTST,예술인,강태성,Kang tae seong,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19219
ARTST,예술인,성옥희,Sung ok hi,시각예술,미술작가,1935,,https://www.daarts.or.kr/handle/11080/19424
ARTST,예술인,정광호,Cheong kwang ho,시각예술,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19587
ARTST,예술인,이강숙,李康淑,공연예술,음악학,1936,,https://www.daarts.or.kr/handle/11080/49474
FARTST,미술작가,이준,"Lee, Joon",회화,,1919,,https://www.daarts.or.kr/handle/11080/19551
ARTST,예술인,묵계월,"墨桂月, 본명 이경옥(李瓊玉)",공연예술,경기민요,1921,,https://www.daarts.or.kr/handle/11080/6276
ARTST,예술인,변창순,邊昌順,공연예술,무대미술,1947,,https://www.daarts.or.kr/handle/11080/73585
ARTST,예술인,황영성,Hwang young sung,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19680
ARTGR,예술단체,(주)삼형제엔터테인먼트,,공연단체,,,,https://www.daarts.or.kr/handle/11080/51657
FARTST,미술작가,이영수,Lee young su,회화,,1944,,https://www.daarts.or.kr/handle/11080/19530
ARTST,예술인,최창석,"崔昌錫, CHOI Chang Seok",창작음악,한국현대음악,1969,,https://www.daarts.or.kr/handle/11080/84045
ARTST,예술인,이열모,Lee yul mo,시각예술,미술작가,1933,,https://www.daarts.or.kr/handle/11080/19528
ARTST,예술인,정관모,Chung kwan mo,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19586
ARTST,예술인,송혜수,宋慧秀,시각예술,서양화,1913,,https://www.daarts.or.kr/handle/11080/6124
ARTST,예술인,권성현,Kweon Seonghyeon,창작음악,한국현대음악,1972,,https://www.daarts.or.kr/handle/11080/49065
ARTST,예술인,김근중,Kim keun joong,시각예술,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19260
ARTST,예술인,김인겸,Kim in kyum,시각예술,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19304
ARTST,예술인,양자경,Jackie YANG,창작음악,한국현대음악,1987,,https://www.daarts.or.kr/handle/11080/92481
ARTST,예술인,전현석,JUN Hyunsuk,창작음악,한국현대음악,1978,,https://www.daarts.or.kr/handle/11080/84072
ARTST,예술인,목진덕,,공연예술,연극,1967,,https://www.daarts.or.kr/handle/11080/134623
DIC,구술채록,김규동,金奎東,문학,문학,1925,김성수,https://www.daarts.or.kr/handle/11080/16089
FARTST,미술작가,임응식,Limb eung sik,사진,,1912,,https://www.daarts.or.kr/handle/11080/19565
FARTST,미술작가,최인선,Choi in sun,회화,,1964,,https://www.daarts.or.kr/handle/11080/19642
ARTST,예술인,한영섭,Han young sup,시각예술,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19655
ARTST,예술인,한묵,"韓默, 본명 백유",시각예술,"서양화, 판화",1914,,https://www.daarts.or.kr/handle/11080/119985
ARTST,예술인,윤이상,"尹伊桑, YUN Isang",창작음악,한국현대음악,1917,,https://www.daarts.or.kr/handle/11080/163392
ARTST,예술인,이영자,李英子,공연예술,작곡,1931,,https://www.daarts.or.kr/handle/11080/60639
ARTST,예술인,이승택,Lee seung teak,시각예술,미술작가,1932,,https://www.daarts.or.kr/handle/11080/19524
FARTST,미술작가,강경구,Kang kyung koo,회화,,1952,,https://www.daarts.or.kr/handle/11080/19200
ARTST,예술인,심영철,Shim young chul,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19438
ARTST,예술인,조사방,"趙思芳, CHO Sabang",창작음악,한국현대음악,1972,,https://www.daarts.or.kr/handle/11080/163731
ARTST,예술인,석난희,Suk ran hi,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19418
ARTST,예술인,황용엽,Hwang yong yop,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19681
ARTST,예술인,홍순주,Hong soon joo,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19672
ARTGR,예술단체,공연집단 꾼,,공연단체,,,,https://www.daarts.or.kr/handle/11080/51927
ARTST,예술인,정탁영,鄭晫永,시각예술,한국화,1937,,https://www.daarts.or.kr/handle/11080/5854
FARTST,미술작가,임송자,Rim song ja,조각,,1940,,https://www.daarts.or.kr/handle/11080/19561
ARTGR,예술단체,꿈꾸는씨어터(주),,,,,,https://www.daarts.or.kr/handle/11080/21539
ARTST,예술인,최미레,,공연예술,무용,1994,,https://www.daarts.or.kr/handle/11080/70432
ARTST,예술인,이애련,"李愛蓮, LEE Aelyun",창작음악,한국현대음악,1966,,https://www.daarts.or.kr/handle/11080/58399
FARTST,미술작가,고명근,Koh myung keun,설치,,1964,,https://www.daarts.or.kr/handle/11080/19223
ARTST,예술인,김대열,Kim Daeyeoul,시각예술,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19266
ARTST,예술인,김온경,金昷慶,공연예술,한국민속무용,1938,,https://www.daarts.or.kr/handle/11080/6301
FARTST,미술작가,이수홍,Lee soo hong,조각,,1961,,https://www.daarts.or.kr/handle/11080/19523
FARTST,미술작가,김용철,Kim yong chul,회화,,1949,,https://www.daarts.or.kr/handle/11080/19297
ARTST,예술인,김지현,KIM Jihyun,창작음악,한국현대음악,1972,,https://www.daarts.or.kr/handle/11080/58403
ARTST,예술인,김학자,金學子,공연예술,무용,1939,,https://www.daarts.or.kr/handle/11080/6151
ARTST,예술인,박기웅,Park ki woong,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19364
ARTST,예술인,이성자,Seundja Rhee,시각예술,미술작가,1918,,https://www.daarts.or.kr/handle/11080/19519
ARTST,예술인,이상근,李相根,창작음악,한국현대음악,1922,,https://www.daarts.or.kr/handle/11080/163405
FARTST,미술작가,이인현,Lee in hyeon,회화,,1956,,https://www.daarts.or.kr/handle/11080/19538
FARTST,미술작가,임홍순,Lim hong sun,미술작가,,1925,,https://www.daarts.or.kr/handle/11080/19567
FARTST,미술작가,김혜원,Kim hae won,조각,,1941,,https://www.daarts.or.kr/handle/11080/19336
ARTST,예술인,이형표,李亨杓,대중예술,"영화연출, 각본",1922,,https://www.daarts.or.kr/handle/11080/119447
FARTST,미술작가,이용백,Lee yong baek,설치,,1966,,https://www.daarts.or.kr/handle/11080/19533
ARTST,예술인,박수정,PARK Soojung,창작음악,한국현대음악,1983,,https://www.daarts.or.kr/handle/11080/106595
ARTST,예술인,홍순모,Hong soon mo,시각예술,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19671
ARTST,예술인,이영학,Lee young hak,시각예술,미술작가,1948,,https://www.daarts.or.kr/handle/11080/19531
FARTST,미술작가,정현도,Jeong hyun do,조각,,1950,,https://www.daarts.or.kr/handle/11080/19606
ARTST,예술인,공석준,公錫俊,창작음악,한국현대음악,1938,,https://www.daarts.or.kr/handle/11080/65696
DIC,구술채록,권성덕,權成德,공연예술,연극,1940,서지영,https://www.daarts.or.kr/handle/11080/29136
DIC,구술채록,박완서,朴婉緖,문학,문학,1931,장미영,https://www.daarts.or.kr/handle/11080/16318
ARTST,예술인,김옥란,,공연예술,연극,1968,,https://www.daarts.or.kr/handle/11080/134631
ARTST,예술인,지석철,Ji seok cheol,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19620
ARTST,예술인,심현주,Shim hyun joo,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19441
ARTST,예술인,이수은,LEE Su-eun,창작음악,한국현대음악,1981,,https://www.daarts.or.kr/handle/11080/69688
FARTST,미술작가,박경주,Park kyung joo,공예,,1960,,https://www.daarts.or.kr/handle/11080/19361
ARTST,예술인,정종미,Jeong jong mee,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19600
ARTGR,예술단체,극단 라임,,공연단체,,,,https://www.daarts.or.kr/handle/11080/33950
ARTST,예술인,김진홍,金眞弘,공연예술,동래한량춤,1935,,https://www.daarts.or.kr/handle/11080/6345
ARTGR,예술단체,주식회사 초이스엔터테인먼트,,공연단체,,,,https://www.daarts.or.kr/handle/11080/39897
ARTST,예술인,김인중,Kim en joong,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19307
ARTST,예술인,박은경,PARK Eunkyung,창작음악,한국현대음악,1979,,https://www.daarts.or.kr/handle/11080/58059
ARTST,예술인,전재은,Jeon jae eun,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19581
ARTST,예술인,송병수,宋炳洙,문학,수필,1932,,https://www.daarts.or.kr/handle/11080/5658
ARTST,예술인,홍승희,"洪承希, HONG Seunghee",창작음악,한국현대음악,1979,,https://www.daarts.or.kr/handle/11080/58905
DIC,구술채록,김우옥,金雨玉,공연예술,연극,1934,이인순,https://www.daarts.or.kr/handle/11080/16194
ARTGR,예술단체,공연배달서비스 간다,,공연단체,,,,https://www.daarts.or.kr/handle/11080/33954
ARTST,예술인,강정완,Kang jeong wan,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19214
ARTST,예술인,김선두,Kim sun doo,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19281
ARTST,예술인,김의경,金義卿,공연예술,극작가,1936,,https://www.daarts.or.kr/handle/11080/6157
ARTST,예술인,김남조,金南祚,문학,시,1927,,https://www.daarts.or.kr/handle/11080/5778
DIC,구술채록,성찬경,成贊慶,문학,문학,1930,한진일,https://www.daarts.or.kr/handle/11080/16415
FARTST,미술작가,최민식,Choi min sick,사진,,1928,,https://www.daarts.or.kr/handle/11080/19635
ARTST,예술인,조수호,趙守鎬,시각예술,서예,1924,,https://www.daarts.or.kr/handle/11080/5926
FARTST,미술작가,강진모,Kang jin mo,조각,,1956,,https://www.daarts.or.kr/handle/11080/19215
DIC,구술채록,이용일,李鎔一,공연예술,음악,1937,이남재,https://www.daarts.or.kr/handle/11080/107310
ARTST,예술인,오상욱,Oh sang wook,시각예술,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19461
FARTST,미술작가,박영남,Park yung nam,회화,,,,https://www.daarts.or.kr/handle/11080/19385
ARTST,예술인,홍신자,洪信子,공연예술,현대무용,1940,,https://www.daarts.or.kr/handle/11080/6303
ARTGR,예술단체,아즐가,,공연단체,,,,https://www.daarts.or.kr/handle/11080/33922
ARTGR,예술단체,한국사진문화연구소,,,,,,https://www.daarts.or.kr/handle/11080/27933
FARTST,미술작가,이윰,Ium,설치,,1971,,https://www.daarts.or.kr/handle/11080/19537
ARTST,예술인,김시철,"金時哲, 호 하서(河書)",문학,시,1930,,https://www.daarts.or.kr/handle/11080/5753
ARTST,예술인,염은경,Yeom eun kyong,시각예술,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19455
DIC,구술채록,백성희,白星姬,공연예술,연극,1925,박영정,https://www.daarts.or.kr/handle/11080/16378
FARTST,미술작가,박석원,Park suk won,조각,,1942,,https://www.daarts.or.kr/handle/11080/19376
ARTST,예술인,김시형,KIM Shi Hyong,창작음악,한국현대음악,1972,,https://www.daarts.or.kr/handle/11080/49167
ARTST,예술인,강동규,KANG DongKyu,창작음악,한국현대음악,1976,,https://www.daarts.or.kr/handle/11080/52369
ARTST,예술인,박남철,Park nam cheol,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19365
ARTST,예술인,이영지,LEE Youngji,창작음악,한국현대음악,1969,,https://www.daarts.or.kr/handle/11080/52251
FARTST,미술작가,권순철,Kwun sun cheol,회화,,1944,,https://www.daarts.or.kr/handle/11080/19235
ARTST,예술인,김성일,金聖一,공연예술,발레,1935,,https://www.daarts.or.kr/handle/11080/6179
ARTST,예술인,김종학,Kim jong hak,시각예술,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19312
ARTST,예술인,문정숙,文正淑,공연예술,무용,1943,,https://www.daarts.or.kr/handle/11080/6153
ARTST,예술인,이주영,,공연예술,연극,1980,,https://www.daarts.or.kr/handle/11080/112238
ARTST,예술인,정재은,JUNG Jae eun,창작음악,한국현대음악,1975,,https://www.daarts.or.kr/handle/11080/52259
FARTST,미술작가,신수희,Shin soo hee,회화,,1944,,https://www.daarts.or.kr/handle/11080/19432
ARTST,예술인,김학수,Kim hak su,시각예술,한국화,1919,,https://www.daarts.or.kr/handle/11080/6036
ARTST,예술인,이민구,,공연예술,연극,1991,,https://www.daarts.or.kr/handle/11080/135803
DIC,구술채록,이선옥,李先玉,공연예술,무용,1943,이철진,https://www.daarts.or.kr/handle/11080/45189
FARTST,미술작가,배형식,Bae hyung sik,조각,,1926,,https://www.daarts.or.kr/handle/11080/19405
FARTST,미술작가,황유엽,Hwang you yop,회화,,1916,,https://www.daarts.or.kr/handle/11080/19683
ARTST,예술인,정회갑,"鄭回甲, CHUNG Hoe-gap",창작음악,한국현대음악,1923,,https://www.daarts.or.kr/handle/11080/83587
ARTST,예술인,민복진,Min bok jin,시각예술,조각,1927,,https://www.daarts.or.kr/handle/11080/19359
DIC,구술채록,조평휘,趙平彙,시각예술,회화,1932,신수경,https://www.daarts.or.kr/handle/11080/16901
ARTST,예술인,김경승,Kim kyung seung,시각예술,미술작가,1915,,https://www.daarts.or.kr/handle/11080/19255
ARTST,예술인,이종목,Lee jong mok,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19548
ARTST,예술인,김혜자,"金惠子, KIM Hyeja",창작음악,한국현대음악,1943,,https://www.daarts.or.kr/handle/11080/66856
ARTST,예술인,우관호,Woo kwan ho,시각예술,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19473
ARTST,예술인,김유리,KIM Yoori,창작음악,한국현대음악,1963,,https://www.daarts.or.kr/handle/11080/51267
ARTST,예술인,강훈,KANG Hoon,창작음악,한국현대음악,1979,,https://www.daarts.or.kr/handle/11080/52190
ARTST,예술인,김우옥,金雨玉,공연예술,연극연출,1934,,https://www.daarts.or.kr/handle/11080/60958
FARTST,미술작가,신혜경,Shin hye kyung,사진,,1961,,https://www.daarts.or.kr/handle/11080/19436
ARTGR,예술단체,공연보기좋은날,,공연단체,,,,https://www.daarts.or.kr/handle/11080/52085
FARTST,미술작가,전수천,Jheon soo cheon,설치,,1947,,https://www.daarts.or.kr/handle/11080/19580
ARTST,예술인,김경자,Kim Kyoungja,창작음악,한국현대음악,1960,,https://www.daarts.or.kr/handle/11080/58405
ARTST,예술인,김용철,Kim yong chul,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19297
ARTST,예술인,조정현,Cho chung hyun,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19617
ARTGR,예술단체,윤성은 현대무용단,,공연단체,,,,https://www.daarts.or.kr/handle/11080/33923
FARTST,미술작가,변시지,邊時志,회화,,1926,,https://www.daarts.or.kr/handle/11080/6034
ARTST,예술인,김진명,Kim jin myung,시각예술,미술작가,1916,,https://www.daarts.or.kr/handle/11080/19318
ARTST,예술인,강용면,Kang yong myeon,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19210
FARTST,미술작가,권옥연,Kwon ok youn,회화,,1923,,https://www.daarts.or.kr/handle/11080/5958
FARTST,미술작가,윤석구,Yoon seok koo,조각,,1947,,https://www.daarts.or.kr/handle/11080/19494
ARTST,예술인,김광희,Kim Kwanghee,창작음악,한국현대음악,1950,,https://www.daarts.or.kr/handle/11080/52321
ARTST,예술인,김애영,Kim aie yung,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19290
ARTST,예술인,박창민,"朴昌民, PARK Chang-min",창작음악,한국현대음악,1968,,https://www.daarts.or.kr/handle/11080/170489
FARTST,미술작가,문은희,Moon eun hee,회화,,1931,,https://www.daarts.or.kr/handle/11080/5846
ARTST,예술인,신유진,Shin Eugene,창작음악,한국현대음악,1968,,https://www.daarts.or.kr/handle/11080/51271
ARTST,예술인,정순도,鄭淳度,창작음악,한국현대음악,1969,,https://www.daarts.or.kr/handle/11080/51265
FARTST,미술작가,권순형,Kwon soon hyung,공예,,1929,,https://www.daarts.or.kr/handle/11080/19236
ARTST,예술인,유호,"劉湖(본명 : 유해준, 또 다른 예명 : 호동아(작사))",대중예술,"극작가, 작사가",1921,,https://www.daarts.or.kr/handle/11080/6472
ARTST,예술인,최정화,Choi jung hwa,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19643
DIC,구술채록,이길범,李吉範,시각예술,회화,1927,신수경,https://www.daarts.or.kr/handle/11080/16626
ARTST,예술인,황금찬,黃錦燦,문학,시,1918,,https://www.daarts.or.kr/handle/11080/5630
DIC,구술채록,조념,趙念,공연예술,음악,1922,전정임,https://www.daarts.or.kr/handle/11080/16882
ARTST,예술인,오용길,Oh yong kil,시각예술,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19467
ARTST,예술인,진규영,진규영,,창작음악,1948,,https://www.daarts.or.kr/handle/11080/95681
ARTST,예술인,김권섭,Kim Kwonseob,창작음악,한국현대음악,1974,,https://www.daarts.or.kr/handle/11080/58247
ARTST,예술인,조남붕,Cho nam boong,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19610
ARTST,예술인,홍승혜,Hong seung hye,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19675
ARTST,예술인,박송희,朴松熙,공연예술,판소리,1927,,https://www.daarts.or.kr/handle/11080/6191
ARTST,예술인,오태학,Oh tae hak,시각예술,한국화,1938,,https://www.daarts.or.kr/handle/11080/5920
ARTST,예술인,임재경,LIM Jaekyung,창작음악,한국현대음악,1978,,https://www.daarts.or.kr/handle/11080/52072
ARTGR,예술단체,연극저항집단 백치들,,공연단체,,,,https://www.daarts.or.kr/handle/11080/51585
ARTST,예술인,오상길,Oh sang ghil,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19460
ARTST,예술인,하정민,Ha jeong min,시각예술,미술작가,1964,,https://www.daarts.or.kr/handle/11080/19648
FARTST,미술작가,김부자,Kim bu ja,판화,,1945,,https://www.daarts.or.kr/handle/11080/19277
FARTST,미술작가,조성묵,Cho sung mook,조각,,1939,,https://www.daarts.or.kr/handle/11080/19613
ARTST,예술인,이정호,李貞浩,문학,소설,1930,,https://www.daarts.or.kr/handle/11080/5760
ARTST,예술인,오경환,Oh kyung hwan,시각예술,미술작가,1949,,https://www.daarts.or.kr/handle/11080/99158
ARTST,예술인,김효주,KIM Hyo-joo,창작음악,한국현대음악,1975,,https://www.daarts.or.kr/handle/11080/82621
ARTST,예술인,이영조,"李永朝, LEE Young Jo",창작음악,한국현대음악,1943,,https://www.daarts.or.kr/handle/11080/163409
FARTST,미술작가,이종빈,Lee jong bin,조각,,1954,,https://www.daarts.or.kr/handle/11080/19550
FARTST,미술작가,장상의,張相宜,회화,,1940,,https://www.daarts.or.kr/handle/11080/5850
ARTST,예술인,이성순,Lee sung soon,시각예술,미술작가,1943,,https://www.daarts.or.kr/handle/11080/19518
ARTST,예술인,하수경,Ha soo kyung,시각예술,미술작가,1950,,https://www.daarts.or.kr/handle/11080/19647
ARTGR,예술단체,충무아트센터,,공연장,,,,https://www.daarts.or.kr/handle/11080/52205
ARTST,예술인,하유상,"河有祥, 본명 하동열(河東烈)",공연예술,극작가,1928,,https://www.daarts.or.kr/handle/11080/23066
DIC,구술채록,한도룡,韓道龍,시각예술,디자인,1933,김종균,https://www.daarts.or.kr/handle/11080/61151
ARTST,예술인,김태호,Kim tae ho,시각예술,미술작가,1948,,https://www.daarts.or.kr/handle/11080/66007
ARTST,예술인,이흥구,李興九,공연예술,한국무용,1940,,https://www.daarts.or.kr/handle/11080/6321
ARTST,예술인,조진옥,CHO Jinok,창작음악,한국현대음악,1979,,https://www.daarts.or.kr/handle/11080/83941
ARTGR,예술단체,한국문화예술위원회 아르코예술기록원,,기타,,,,https://www.daarts.or.kr/handle/11080/137706
DIC,구술채록,김동진,金東振,공연예술,음악,1913,전정임,https://www.daarts.or.kr/handle/11080/16134
ARTST,예술인,정진우,鄭鎭宇,공연예술,피아노,1928,,https://www.daarts.or.kr/handle/11080/6365
ARTGR,예술단체,울주문화예술회관,,공연장,,,,https://www.daarts.or.kr/handle/11080/33926
FARTST,미술작가,김홍주,Kim hong joo,회화,,1945,,https://www.daarts.or.kr/handle/11080/19339
ARTST,예술인,고영훈,Ko young hoon,시각예술,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19224
ARTST,예술인,오이량,yiryang Oh,시각예술,미술작가,1964,,https://www.daarts.or.kr/handle/11080/19469
DIC,구술채록,진랑,"陳娘, 본명 진현숙(陳鉉淑)",공연예술,연극,1922,박명진,https://www.daarts.or.kr/handle/11080/16904
ARTST,예술인,김창수,,시각예술,사진,1969,,https://www.daarts.or.kr/handle/11080/70403
ARTST,예술인,정경연,Chung kyung yeun,시각예술,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19585
ARTST,예술인,박성원,BAHK Soungwon,창작음악,한국현대음악,1976,,https://www.daarts.or.kr/handle/11080/106500
ARTST,예술인,이두식,Lee doo shik,시각예술,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19508
FARTST,미술작가,홍성담,Hong sung dam,회화,,1955,,https://www.daarts.or.kr/handle/11080/19667
ARTST,예술인,박을복,朴乙福,시각예술,자수공예,1915,,https://www.daarts.or.kr/handle/11080/5818
ARTST,예술인,오경환,Oh kyung hwan,시각예술,미술작가,1940,,https://www.daarts.or.kr/handle/11080/19457
ARTST,예술인,김춘수,Kim tschoon su,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19329
ARTST,예술인,육태진,Yook tae jin,시각예술,미술작가,1961,,https://www.daarts.or.kr/handle/11080/19492
ARTST,예술인,이인영,李仁榮,공연예술,성악,1929,,https://www.daarts.or.kr/handle/11080/6221
FARTST,미술작가,주태석,Ju tae seok,회화,,1954,,https://www.daarts.or.kr/handle/11080/19619
FARTST,미술작가,황종례,Whang chongnye,공예,,1927,,https://www.daarts.or.kr/handle/11080/5960
ARTST,예술인,이만방,"李萬芳, YI Manbang",창작음악,한국현대음악,1945,,https://www.daarts.or.kr/handle/11080/49614
ARTST,예술인,이재효,Lee jae hyo,시각예술,미술작가,1965,,https://www.daarts.or.kr/handle/11080/19541
DIC,구술채록,박순녀,朴順女,문학,문학,1928,박선애,https://www.daarts.or.kr/handle/11080/16308
ARTST,예술인,이종인,李鍾仁,기타,문화일반,1934,,https://www.daarts.or.kr/handle/11080/73554
DIC,구술채록,박조열,朴祚烈,공연예술,연극,1930,이인순,https://www.daarts.or.kr/handle/11080/60566
ARTST,예술인,김형대,Kim hyung dae,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19335
ARTGR,예술단체,한국컨템포러리무용단,,공연단체,,,,https://www.daarts.or.kr/handle/11080/724
ARTST,예술인,김윤수,金潤洙,시각예술,미술평론,1935,,https://www.daarts.or.kr/handle/11080/135610
ARTST,예술인,이은재,Lee Eun-jae,창작음악,한국현대음악,1971,,https://www.daarts.or.kr/handle/11080/49218
ARTST,예술인,설원기,Sul won gi,시각예술,미술작가,1951,,https://www.daarts.or.kr/handle/11080/19421
FARTST,미술작가,박영대,Park young dae,회화,,1942,,https://www.daarts.or.kr/handle/11080/19386
ARTST,예술인,이형록,李亨祿,시각예술,사진,1917,,https://www.daarts.or.kr/handle/11080/6065
FARTST,미술작가,강연균,Kang yeon gyun,회화,,1940,,https://www.daarts.or.kr/handle/11080/19209
FARTST,미술작가,심철웅,Sim cheol woong,설치,,1957,,https://www.daarts.or.kr/handle/11080/19440
ARTST,예술인,안동숙,An dong suk,시각예술,한국화,1922,,https://www.daarts.or.kr/handle/11080/6017
ARTST,예술인,조순호,Cho soon ho,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19614
ARTST,예술인,최광호,Choi kwang ho,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19632
DIC,구술채록,양혜숙,梁惠淑,공연예술,연극,1936,유춘오,https://www.daarts.or.kr/handle/11080/134968
ARTST,예술인,주민숙,Joo min suk,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19618
FARTST,미술작가,김기린,Kim gui line,회화,,1936,,https://www.daarts.or.kr/handle/11080/19262
FARTST,미술작가,김영진,Kim young jin,공예,,1957,,https://www.daarts.or.kr/handle/11080/19293
FARTST,미술작가,엄태정,Um tai jung,조각,,1938,,https://www.daarts.or.kr/handle/11080/19454
FARTST,미술작가,황용진,Hwang yong jin,회화,,1955,,https://www.daarts.or.kr/handle/11080/19682
ARTST,예술인,유현미,Yoo hyun mi,시각예술,미술작가,1964,,https://www.daarts.or.kr/handle/11080/19488
ARTST,예술인,이철우,李喆雨,공연예술,음악기획,1938,,https://www.daarts.or.kr/handle/11080/73574
ARTST,예술인,강찬균,Kang chan gyun,시각예술,미술작가,1938,,https://www.daarts.or.kr/handle/11080/19217
ARTST,예술인,박순녀,朴順女,문학,소설,1928,,https://www.daarts.or.kr/handle/11080/5656
ARTST,예술인,임경신,IM Kyungshin,창작음악,한국현대음악,1969,,https://www.daarts.or.kr/handle/11080/52307
FARTST,미술작가,이양원,Lee yang won,회화,,1944,,https://www.daarts.or.kr/handle/11080/19527
DIC,구술채록,구두회,具斗會,공연예술,음악,1921,허지연,https://www.daarts.or.kr/handle/11080/107339
FARTST,미술작가,유휴열,Ryu hu yeol,회화,,1949,,https://www.daarts.or.kr/handle/11080/19489
ARTST,예술인,김재관,Kim jai kwan,시각예술,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19309
FARTST,미술작가,김형근,金泂菫,회화,,1930,,https://www.daarts.or.kr/handle/11080/19334
FARTST,미술작가,차순실,Cha soon shil,시각기타,,1955,,https://www.daarts.or.kr/handle/11080/19626
DIC,구술채록,정연희,鄭然喜,문학,문학,1936,송인화,https://www.daarts.or.kr/handle/11080/136274
ARTST,예술인,정연옥,JEONG Yeon-Ok,창작음악,한국현대음악,1968,,https://www.daarts.or.kr/handle/11080/82333
ARTST,예술인,최기원,Choi ki won,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19633
DIC,구술채록,백문기,白文基,시각예술,조각,1927,김주원,https://www.daarts.or.kr/handle/11080/16368
DIC,구술채록,윤조병,尹朝炳,공연예술,연극,1938,김명화,https://www.daarts.or.kr/handle/11080/107296
ARTST,예술인,허영한,"許榮翰, HUR Young-han",창작음악,한국현대음악,1958,,https://www.daarts.or.kr/handle/11080/87772
